Message,Hatespeech,Sentiment
ไม่สนิท อย่าดัดจริตเอาคนอื่นไปนินทา 😊,nonhatespeech,Unknown
เราอยู่ในประเทศดัดจริต ที่พอรู้สึกแย่กลางดึกแล้วออกไปหาซื้อเบียร์ไม่ได้,hatespeech,Unknown
"แต่ผมเกลียดคนแบบคุณ
คุณไม่ได้มีมากอะไรนักแต่ดัดจริตเกินจนฟุ่มเฟือย
สักวันถ้าล้มจนหมดขึ้นมา จะมีแต่คนกระทืบซ้ำเพราะความหมั่นใส้ในวันนี้",hatespeech,Unknown
อส.คนจะแพ้อะไรมันมีเวลามาดัดจริตเหรอวะ ผดผื่นที่ผุดขึ้นนี่ก็ดัดจริตถูกมะ สวัสดีจ้าผื่นเอง ผุดตามความดัดจริตของร่างกายจ้า งี้เหรออีดก,nonhatespeech,Unknown
เมื่อศีลธรรมต่ำตม ปัญหาสังคมก็จะตามมา อย่าเอาแต่ดัดจริตคิดอะไรตื้นๆสิคะ แล้วก็ไปหัดเขียนภาษาไทยให้ถูกหน่อยก็ดี วะว่ะยังสับสนเลย,hatespeech,Unknown
คนเรามันดัดจริตไม่เท่ากันจริงๆ 5555555555,nonhatespeech,Unknown
ที่จอดรถโรงพยาบาลรัฐบาล 7 ชั้นเฉพาะผู้มีบัตร (เจ้าหน้าที่) ที่เหลืออีก 2 ชั้นเป็นของประชาชน ขับวนกันไปซิพวกไพร่,hatespeech,Unknown
ใครเชื่อแม่งก็ควายแล้ว,nonhatespeech,Unknown
พ่อมึงตาย ประเทศไพร่ขี้ข้าทาสต่ำสถุน,hatespeech,Unknown
สันดานไพร่เก็บไว้ใช้กับตัวเองนะ,hatespeech,Unknown
ใครจะไปคิดว่าคนที่หน้าสวยๆ เรียนสูงๆ การทำงานดีๆ จะมี..สันดานต่ำ การคิดและพูดสถุลเยี่ยงไพร่,hatespeech,Unknown
สันดารกะเทยชั้นต่ำสลัมชั้นไพร่,hatespeech,Unknown
กินคาวไม่กินหวานสันดานไพร่ใช่ไหมคะ เราเลยจัดเค้กนมสดมาตบท้ายมื้อเย็นค่ะ,nonhatespeech,Unknown
"""ไพร่ที่ทำงานช่วงอยุธยา แทบไม่มีกินมีแต่กำลังใจว่าได้ทำเพื่อชาติ"" 55555555555555555555555",nonhatespeech,Unknown
ต่ำ สมองคิดได้แค่นี้หรอ twitter.com/dailynewstwit/…,hatespeech,Unknown
'อยู่กรุงเทพแล้วดัดจริตขึ้นนะมึงเนี้ย' โอ๊ย!!กูขำ 555555  #อกหักมารักกับผม #togetherwithme,nonhatespeech,Unknown
"ตอนแรกคิดว่า อำมาตย์ กับ ไพร่ เป็นเพียงวาทกรรมของเหล่าแกนนำ

pantip.com/topic/31946859",nonhatespeech,Unknown
พวกไพร่เดินตากฝน twitter.com/handgirlfriend…,hatespeech,Unknown
ถ้าพูดเรื่องสถานะเป็นรองแล้วพยายามถีบตัวเอง กูน่าจะเป็นชนชั้นไพร่ทาสที่ขี้เกียจอ่ะ แบบ เออ ทำเหี้ยไรก็เรื่องของมึง,nonhatespeech,Unknown
หมดเวลาพักแล้วอีพวกไพร่ไปทำงาน,hatespeech,Unknown
อ่านแล้วไม่ตอบ เราเป็นข้อสอบเหรออีหอยเกาะเสาปูน,hatespeech,Unknown
ปวดขา ปวดตัว ปวดไปหมดเลยไอ้หอยแม่งเอ้ย,nonhatespeech,Unknown
อย่าให้ดนตรีไทยฉุดเกรดกูนะ หอยหลอด,nonhatespeech,Unknown
จะลาออกไปขายหอยขายปูที่ไหนก็ได้ไป๊,nonhatespeech,Unknown
อิหอยมึงเอาดีๆ อย่าโกหกกูนะแช่งนะเว้ย,hatespeech,Unknown
ไม่มาช่วยงานแล้วยังหน้าด้านมาบอกว่าทำแล้ว อิหอย !,hatespeech,Unknown
ให้ตายสิ ไม่เคยเสียดายที่ไม่ได้ดูในโรงแบบเรื่องนี้มาก่อน โถ่เว้ย หอยหลอด,nonhatespeech,Unknown
แล้วนี่เอาคลิปเก่ามารวมทำมวยยยย กูไม่เข้าจายยย แยกๆมาสิโว๊ย กว่ากูจะได้ดูอันสุดท้าย อีหอยหลอด,nonhatespeech,Unknown
เออ เนี่ย กูเกลียดอิพวกซ้อมกดบัตร กดมาอัพแต่ไม่มีคนซื้อก็ปล่อยหลุดทิ้ง อิหอย ไม่ต้องยุ่งหรอก กูอยากกดเอง ละที่กูกดได้ก็ที่ไม่ดีไง,hatespeech,Unknown
กูเกลียดความซกมกของพวกพี่กู อิหอย เสื้อตัวเดี๋ยวใส่ทุกอาทิตย์ อิดอก,hatespeech,Unknown
รถติดหอกหอยไรนักหนาเนี่ย,nonhatespeech,Unknown
เน็ตช้าเหมือนหอยทากเปนอัมพาตเลย,nonhatespeech,Unknown
กูผู้ลืมวิธีการลงสีน้ำ อีหอย นอนค่ะจบ ไม่วงไม่วาดมันละ,nonhatespeech,Unknown
อีห่า แล้วก็มาประชดใส่งู้นงี้ ว่าเธอไม่ผิดหรอก เราผิดเองที่ถามงี้ โห คือมันเป็นรูปประโยคที่ประชดว่าจริงๆแล้วกูผิดอ่ะ,hatespeech,Unknown
แต่สงสารเพื่อนกว่าที่อยู่หอประชุมแล้วต้องเข้าคลาสต่อไปภายใน5นาทีที่ตึกคณะ5555 ไอห่าจะไปไงให้ทัน,nonhatespeech,Unknown
จะทำยังไงกับพวกที่ลงรูปคนตายในเฟสดี คือแมร่งไม่เซ็นห่าอะไรเลย เลือดอาบ กระดูกทะลุแมร่งก็ยังถ่าย ให้เกียรติญาติเขาบ้าง,nonhatespeech,Unknown
คือโดนมนุษย์ป้าเดินชนแบบคล้ายๆผลักอ่ะ แล้วขาพลิกลงแอ่งน้ำขัง รองเท้าเปียกไม่พอ กูปวดข้อเท้าด้วยเนี่ย อิห่า จะสาปแช่งมึง อีป้าาาาาาาาาา. !!!!,hatespeech,Unknown
แค่พิมตอบยังขี้เกียจเลยห่า ขก.ยังย่อนี่ความขก.กูมากมายมหาศาล,nonhatespeech,Unknown
ยังโสด ยังว่าง ยังเหงา ยังไม่มีใครเอา ยังไม่มีห่าอะไรเลย..😔😞,hatespeech,Unknown
เรื่องมาก ยุ่งยาก วุ่นวาย และเสือกสั่งงานไม่บอกรายละเอียดให้ดีอีก อีห่า,hatespeech,Unknown
หลังกูนี่อย่างกับเอาน้ำมาสาดใส่ ห่าเหว ร้อน!,nonhatespeech,Unknown
กูจะผ่านเรื่องห่าเหวนี่ไปให้ได้อะ,nonhatespeech,Unknown
มึงไม่ควรตัดสินใครต่อใครด้วยการทำตัวแปลกๆ พูดตัดบทหรือห่าเหวไรทั้งนั้น ถ้ามึงเกลียดกูมาตรงๆกันดิบอกว่าไม่ชอบไรกู,nonhatespeech,Unknown
การที่หมาโดนฆ่านี่โคตรเจ็บใจ อยากแช่งคนทำให้แม่งเด๊ดห่าไปให้หมด,hatespeech,Unknown
ไม่อยากจะตบคนแก่อย่างมึงให้ความสกปรกติดมือ มีแต่สาปแช่งให้ตายห่าตายโหงไวๆ,hatespeech,Unknown
อยู่ในสังคมของคนที่โกงคนอื่นเขากิน คนพวกนี้แม่งเจริญเอาๆ เมื่อไหร่มึงจะตกเหวตายห่าซ๊ะทีว่ะ  เกลียด!!!,hatespeech,Unknown
พี่กูก็มีพยาน แล้วตำรวจก็ยังไม่ได้บอกพี่กูล่วงละเมิด แล้วมึงจะมาไล่พี่กูหาหอกแสงดาบเหี้ยอะไร มึงไม่ได้มีส่วนอะไรกะพี่กูเลย,hatespeech,Unknown
หยุดพูดสัก1นาทีน้ำลายมึงจะบูดรึไงอีห่าาา😡 #รําคาญ #รถเมล์,hatespeech,Unknown
แค่เรียกน้อง แต่ถ้ามึงไม่ยากเป็นน้องก็บอก ประชดหาหอกไร,hatespeech,Unknown
ซึ่งเสื้อแบบนี้ ผ้าดีวิเศษแค่ไหน ขายตามห้าง เมื่อก่อนกูซื้อไม่เคยเกินสามร้อย หอกหัก,hatespeech,Unknown
เจอคนใส่อารมณ์กับทวิตนี่อีกละ อีหอก จริงจังอะไรมากมั้ย เบื่อออออ ไม่อยากกลับไทยไปเจออะไรในกะลาๆเล้ยย,hatespeech,Unknown
อีหอกหักด่าค่ายวันละสามล้านแปดรอบมันก็ยังหน้าด้านหน้าทนที่จะทำคอนเซปผีห่านี่,hatespeech,Unknown
อีหอก มึงมาเป็นกู ทำงานแทบตาย เปิดสมุดบช. ดูใจหายวาบ กินก็ถูกๆ เที่ยวก็ถูก อย่างอื่นก็ไม่สุรุ่ยสุร่าย เสื้อผ้าอะไรก็ไม่มีใหม่ แต่ตังค์ไม่มี,nonhatespeech,Unknown
เขาหมดใจกับมึงไปนานแล้วมึงควรเจียมตัว หอกหักมึงมันไม่เคยจะจำ,nonhatespeech,Unknown
สรุปมันแย่ทุกเรื่องเลยอีหอก,nonhatespeech,Unknown
อีหอกตกใจแบบวิญญาณหลุดออกจากร่างอะ,nonhatespeech,Unknown
วิถีแฟนคลับของพวกมึงนี่มันหอกหักจริงๆ,hatespeech,Unknown
หอกหักพรุ่งนี้เข้าหอประชุมไม่ต้องสอบแล้วอ่านเพื่อ!!!,nonhatespeech,Unknown
เหี้ยกับเขาไว้เยอะ เขาเหี้ยกลับก็คงไม่เเปลก,hatespeech,Unknown
เช้านี้แดดเหี้ยมาก แดดร้อนแบบนี้ไม่ใช่ฝนตกตอนเย็นนะอีเหี้ยย,nonhatespeech,Unknown
แม่งไม่มีความเป็นกลาง ความปลอดภัย ความโปร่งใสเหี้ยไรไม่มีเลย เฮ้ยยยย,nonhatespeech,Unknown
เอายิ่งลักษณ์เข้าคุกไม่ได้ จะกลายเป็นหอกข้างแคร่แบบทักษิณ ต่อไปเธอจะออกเดินสายในต่างประเทศสร้างปัญหาให้ คสช อยู่ไม่เป็นสุข,hatespeech,Unknown
สิ่งที่เหี้ยที่สุดคือโดนน้ำสาดค่ะ น้ำที่นองอยู่บนพื้นถนนละมีรถวิ่งอย่างเร็วมาเหยียบ สาดเข้าเสื้อเข้ารองเท้ากูนี่,nonhatespeech,Unknown
วันนี้ได้เลิกงานดึกอีกแล้ว อีเหี้ย ไม่จบไม่สิ้น จะเล่นใหญ่อะไรนักหนา นี่ภัตตาคารเชฟกระทะเหล็กปะเนี่ย,hatespeech,Unknown
ยังดีที่มีป้าและแก็งหมาๆที่น่ารักคอยอยู่เป็นเพื่อน เลยรู้สึกไม่ขาด...ไม่งั้นคงเหี้ยกว่านี้เยอะ😂,nonhatespeech,Unknown
คือมึงเป็นเหี้ยไรอ่ะ ทำไมต้องพูดเหมือนตัวเองเก่ง ดีเริ่ดกว่าคนอื่น,hatespeech,Unknown
ประเทศเหี้ยไรเนี่ยยยย อยู่ๆก็ทะเลาะกันเรื่องซอส,nonhatespeech,Unknown
ทำไมพูดโทรศัพท์แล้วต้องมีคนแทรก ไอ้เหี้ย!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,hatespeech,Unknown
ไม่มีความรู้สึกอยากช่วยงานเลยอะ อีเหี้ย กูนี่คนชั่วมาก,nonhatespeech,Unknown
ก่อนจะสอนคนอื่นก็ต้องดีก่อนป้ะจ้ะ  ตัวเองยังเหี้ยอยู่ตลอดเลยยย อิกระดาษทรายเบอร์ศูนย์ pic.twitter.com/LfTHCEwQXj,hatespeech,Unknown
อีเหี้ย บอกให้ปลอบเสือกไล่กูไปตาย อีส้นตีน,hatespeech,Unknown
ช่วงล่าแม่มดหรอ ? เอาจริงๆนะถ้าเราจะไม่ชอบใครสักคนเป็นเพราะตัวเราเองไม่ใช่การชักจูงจากคนอื่นอ่ะ เห็นเขาแหกกันเราก็เสือกไปเงียบๆพอ,nonhatespeech,Unknown
เสือกความคิดชาวบ้านก่อน พอคนอื่นเขาเสือกความคิดตัวเองบ้างก็มานู้นนี้นั้น ตลก !,hatespeech,Unknown
เห็นดราม่าเลื่อนผ่าน ไม่ตามเสือกหัวร้อนเหมือนเมื่อก่อน โคตรสบายใจ,nonhatespeech,Unknown
เสือกอย่างมีคุณภาพนะคะ อย่าสักแต่ว่าเอาสนุก ใครดีก็ชมใครทำไม่ถูกก็ไปขัดๆมันหน่อย 5555,nonhatespeech,Unknown
"อยากใส่ใจ = เสือก 

รู้สึกถึงความซอฟท์ อยากใส่ใจ ขอใส่ใจหน่อย",nonhatespeech,Unknown
อย่าสาระแนให้มันมากอีควาย บล็อคไปแล้วก็เสือกแบบเนียนๆเถอะจ้ะ ระรานกูอยู่ได้นะ จะไม่ถามนะว่าเป็นเหี้ยไรมากป่ะเพราะดูแล้วคงจะอาการหนักอยู่,hatespeech,Unknown
เสือกแล้วได้อะไรอ่ะ เงินในบัญชีเธอเพิ่มขึ้นหรอ5555555555555555,nonhatespeech,Unknown
ข้างห้องมีแต่พวกดูดบุหรี่ แม่งไม่มีความเกรงใจหน้าห้องตัวเองเสือกไม่ดูดน่ะมาดูดหน้าห้องกู ได้แต่แช่งให้แม่งเป็นมะเร็งตายเร็วๆ,hatespeech,Unknown
ฆ่าตัวตายไปนี่ก็คิดแน่ๆชาติหน้าไม่ได้เกิดเป็นคนหรอกกรรมเยอะเกิน ลาตินี้ก็เสือกไม่มีความมสุข ผัวก็ไม่มี เหี้ยเหี้ยทั้งหมด,hatespeech,Unknown
ถ้าจะด่าก็ระบุชื่อมาสิคะ ไม่ได้ร้อนนะ แค่อยากเสือกด้วย5555555555,nonhatespeech,Unknown
บางคนแค่อ่านทวิตก็เหม็น แต่ต้องเก็บไว้เสือก งงป่ะ555555555,hatespeech,Unknown
ไม่ชอบค่ะ  เหตุผล คือ มึงปากหมาเกินไป!!!,hatespeech,Unknown
ชอบโกหก โกหกหาส้นตีน,hatespeech,Unknown
บางที คำพูดของใครบางคนก็เหมือนหยดน้ำ ที่ไม่มีค่า แม้แต่จะเอาไปล้างส้นตีน,nonhatespeech,Unknown
ไม่รู้สมองเป็นส้นตีนห่าไรนักหนา,nonhatespeech,Unknown
มีโทรสับแต่ไม่ว่างรับก้อย่ามีนะอิเหี้ย โมโห เวลาเร่งด่วนโทรไปไม่เคยรับส้นตีนเถอะอีควาย,hatespeech,Unknown
วีคนี้ตั้งใจจะออกกำลังให้ครบ แม่งก็มาติดงานอีก ส้นตีนจริงๆเลยชีวิต,nonhatespeech,Unknown
"คำพูดยกตัวเองเหนือฟ้า
สันดานต่ำช้าใต้ส้นตีน
#ไพร่ #สถุน",hatespeech,Unknown
ส้นตีนมากอ่ะ อาร์มี่เหี้ยจนกูไม่รู้จะพูดยังไง เหี้ยในเหี้ย แทนที่จะเอาเวลาไปซัพศลป.เสือกมาทำตัวเหี้ยใส่ด้อมคนอื่น เป็นส้นตีนไรกูถามหน่อย?,hatespeech,Unknown
ทำตัวส้นตีนมากต่างหาก  พวกขี้ตีน,hatespeech,Unknown
ไม่ชอบคนเหยียดส้นตีนไรทั้งนั้น เพศ รสนิยม ความชอบ แม้กระทั่งเหยียดขามาที่เก้าอี้กูเนี่ย,nonhatespeech,Unknown
คนฟังเขาก็เลือกฟังอยู่นะถึงมาบอกนี่อ่ะ เอาดีเข้าตัวเอาชั่วให้คนอื่น พยายามถีบตัวเองให้ดีไปเหอะ สันดานสถุลแบบนี้ ครอบครัวคนดีๆเขาไม่ทำกันหรอก,hatespeech,Unknown
เป็นเซเลปทวิตเตอร์จากการแสดงความคิดลบๆแสดงความแรงความถ่อยสถุล คิดว่าดีว่าดังแล้วหรอ ในชีวิตจริงของเธอมีคนสรรเสริญคุณงามความดีบ้างมั้ย,hatespeech,Unknown
สันดารเลวจริงๆนะอีพวกเปิดเพลงดัง3บ้านแปดบ้าน นี่ก็อยู่ในดงในป่าคิดว่าจะสงบ ยังต้องมาทนฟังเมิงอีกเหรอ หนีไม่พ้นซักที สถุลจริง,hatespeech,Unknown
"กาลีย้อมผ่านฟ้าเต็มเมือง รุกเขื่องชั่วชาติเรือง ห่าเหี้ย 
อัปรีย์บ่าเลวเฟื่อง หมกหมุ่น ต่ำทั่วมัวสถุลเลียโยนี สีแดง
 pic.twitter.com/ef7XX3TULC",hatespeech,Unknown
พอๆ กับคติที่ว่าเป็นคนตรงๆ แต่จริงใจอ่ะ ตรงอะไร แบบนั้นเรียกสถุล,hatespeech,Unknown
สวัสดีอีพวกไพร่,hatespeech,Unknown
น้ำหน้าอย่างมึงใช้บ้างสมอง ไม่แปลกใจทำไมไม่มีคนเอา มึงมันมีแต่แรด ด่าชาวบ้านสันดานมึงมันสถุล,hatespeech,Unknown
"จะสถุลใส่เรา เราไม่ว่าค่ะ เราบล็อกเลยค่ะ
ถ้ามากกว่าคำว่าสถุล เราก็รีพอร์ตนะคะ
..ในชีวิตจริงมี 2 ปุ่มนี้ก็ดีเหมือนกันนะคะ",nonhatespeech,Unknown
"ใครดูถูกดูหมิ่นศิลปะ
อนารยะไร้สกุลสถุลสัตว์
ราวลิงค่างเสือสางกลางป่าชัฏ
ใจมืดจัดกว่าน้ำหมึกดำ
#ท่านอังคาร",nonhatespeech,Unknown
ด่าไม่ดูน้ำหน้าพ่อตัวเองเลย สถุลยิ่งกว่า twitter.com/nakhon224/stat…,hatespeech,Unknown
เกิดมาไม่เคยคิดจะได้เห็นผู้นำปากเสีย ปากพร่อย ถ่อยสถุล ขี้เสือก กร่าง ไร้ภาวะผู้นำ ไม่สมกับตำแหน่งทหาร แบบนี้,hatespeech,Unknown
ทหารมองว่าตลก คนอื่นมองว่าสถุล twitter.com/nationweekend/…,hatespeech,Unknown
เจอพวกชาติสถุลสกุลสัตว์ ทิ้งขยะเกลื่อนกลาดแล้ว น่าสมเพชเวทนาสังคมไม่เจริญด้อยพัฒนาเพราะมัวแต่รัฐประหารยึดอำนาจ,hatespeech,Unknown
คนสถุลแต่ใจกว้าง น่าคบหา กว่าคนรุ่มรวยแต่ใจแคบ,nonhatespeech,Unknown
เครียดอยู่แล้วยังต้องมาเครียดเพราะคนปากสถุลอีกหรอ ชีวิตนี่เศร้าจริงๆนะ,hatespeech,Unknown
มึงควรสูบแล้วตายๆไปคนเดียว จะมาเผื่อแผ่กลิ่นให้คนรอบข้างทำไม คนสูดกลิ่นเข้าไปเขาจะตายก่อนมึงอีก ควาย,hatespeech,Unknown
สมองกูไม่มีหรอกกูโง่เองแหละกูผิดกูไม่น่าเกิดมาเลยแม่จะได้ไม่ลำบากเสียตังเลี้ยงควาย,hatespeech,Unknown
เลิกตอแหลว่าเหงาหลอกควายตัวอื่นเถอะคะ  หลอกวนไปยุได้  ผช เหี้ยอะไร ไม่ละอาย สงสารคนอื่นที่เชื่อ,hatespeech,Unknown
ถามติ่งง่าย ๆ โง่  ๆ เลย ทำไมคนอื่นถึงไม่มีสิทธิออกความเห็นอะไร แต่ที่สงสัยที่สุดคือมึงมีสิทธิอะไรไปห้ามเค้าคะ ผิดมาตราไหน อีควาย งง,hatespeech,Unknown
แข่งที่ไทยเอาวิ่งควาย โดดยาง หมากเก็บ เป่ากบลงแม่งเลย ถ้าจะโกงขนาดนี้ แข่ง3วัน16เหรียญอิเควี้ย #ซีเกมส์2017,hatespeech,Unknown
"กูทำงานกับควาย
หรือกูเป็นควายทำงานกับคน

#แคปชั่นกวนตีน #แคปชั่นเด็ดๆ #แคปชั่นฮา #แคปชั่นเสี่ยว #แคปชั่นชีวิต",hatespeech,Unknown
คนที่รู้ทุกอย่างแต่ไม่พูดไม่ได้แปลว่าเค้าจะไม่รู้สึกอะไรแต่มันแปลว่าเค้าเหนื่อยที่จะต้องมานั่งฟังคำแก้ตัวของมึงต่างหาก อีควาย,hatespeech,Unknown
ควายแดง ไม่นับเป็นคนไทยนะ twitter.com/matichononline…,hatespeech,Unknown
ผู้ชายปากหมาเเบบมึงควรหมดโลกไป ไปตายซะไปอีเหี้ย เห็นนิ่งๆนี่พร้อมถล่มอีควาย,hatespeech,Unknown
ใช้มือถือกาก มีปัญญาเจิมเกมแต่ไม่มีปัญญาซื้อมือถือที่เล่นลื่นก็ไปตายอีควาย,hatespeech,Unknown
คนเรานี่ย้อนแย้งจังเนาะ เขาไม่ลั่นให้มึงดูคนเดียวอะ ควาย สะเหร่อ,hatespeech,Unknown
ควายว่าแต่คนอื่นอ่ะ แล้วหน้าเป็นหลุมขนาดนั้น เอาหน้าไปวัดถนนมาเหรอ,hatespeech,Unknown
มีนายกเป็นควายนี่อับจนทั้งประเทศ twitter.com/toyubomm/statu…,hatespeech,Unknown
มันก็สมควรกลัว เป็นเสือก็ดีอยู่แล้วกลัวต้องเป็นควายเป็นวัว,nonhatespeech,Unknown
เจ้าหมาโง่ แกทำให้ชั้นดูแย่!!!!,nonhatespeech,Unknown
วินรถตู้ดอนเมืองสถุลจังหวะ,hatespeech,Unknown
ผช ปากหมาเยอะแยะไป ปากนี่เกิดมาเพื่อโดนส้นตีนอะ เห็นละอยากเอาตีนลูบๆหน้าดูจังเลยย,hatespeech,Unknown
หมาเหมือนหน้าเลยนะคำพูด,hatespeech,Unknown
ไม่หรอก หมาตอแหลอย่างมึงอ่ะสมควรแล้ว,hatespeech,Unknown
"เสียภาษีเยี่ยงอเมริกา
ใช้ชีวิตเยี่ยงหมาในกรง 

#สมแล้วที่เป็นประเทศด้อยพัฒนา",hatespeech,Unknown
"เวลาเจอแม่ค้าปากหมาต้องทำไงคะ? 
คำตอบง่ายๆค่ะ ตบปากมัน👋👋👋👋👋👋👋👋👋👋",hatespeech,Unknown
เป็นพวกที่บั่บแก่แล้วแต่ยังปากหมาอยู่อะ 5555555,hatespeech,Unknown
ดาราเลิกกันละทำไมต้องตามไปเม้นถล่มในไอจีเค้าอ่ะ เป็นหมาหรอ เค้าโยนกระดูกให้ต้องรีบวิ่งไปเก็บงี้,hatespeech,Unknown
"- ชอบอยู่ในที่ๆคนน้อยๆ
- รักความเงียบ
- รักหมาตัวเองมาก
- ชอบพระจันทร์กับเวลากลางคืน
- แพ้แอลกอฮอล์
- มีปัญหาเรื่องการหายใจ
- ขี้โรค",nonhatespeech,Unknown
ถ้าเป็นอาจารย์ฝ่ายปกครองกูยอมปากหมารายทางให้เค้าตบกูแล้วพาเข้าห้องปกครอง กรั่กๆๆๆ pic.twitter.com/3HLHxal4vF,nonhatespeech,Unknown
พวกสปอยหนังแบบอวดรู้นี่ใจหมามาก,hatespeech,Unknown
มอไซด์รับจ้างนี่ชอบขับเฉียดๆหมาทุกคันป่าวคะ?? 🙄🙄🙄🙄,nonhatespeech,Unknown
แน่ใจละล่ะว่าไม่รักสัตว์  และแค่ชอบเล่นกับหมา(บางตัว),nonhatespeech,Unknown
ปากหมาแบบผีจีนฟังไทยได้เหรอตามข้ามประเทศมาไทยได้เหรอหรือเปนคนไทยที่ตายในประเทศจีนสารพัด ไม่เจอว่ะ ฉันพุดไม่กี่คำ มาเลย,hatespeech,Unknown
ฉันนินทามันและเจอ แต่เพื่อนนินทามัน ปากหมามากกว่าเราอี๊กกกก ไม่เจอ =_= ภาษาผีเปนภาษาสากลเหรอ ฉันนินทามันเปนภาษาไทยนะ ก้บอกให้เพื่อนสวมพระเลย,nonhatespeech,Unknown
ขอถามหน่อยว่าจะมาปากหมาแช่งเด็กทำไมทำไมไม่ให้กำลังใจแค่เกรดไม่สูงนี่ก็หดหู่พออยู่แล้วยังจะมาปากหมายืนแช่งอีก นี่เป็นผู้ใหญ่จริงป่ะคะ,hatespeech,Unknown
ไอชั่วไอเลวไอควายขอให้มึงต้องตายอย่างหมาเลย,hatespeech,Unknown
รบแบบนี้เปลี่ยนจากอาร์มี่เป็นฝูงหมาเถอะค่ะ,hatespeech,Unknown
อีดอกตอแหลมึงไม่ใช่เพื่อน รำคาญ,hatespeech,Unknown
นิสัยแบบมึงยังมีคนคบอีกหรอ ตอแหลแต่ไหนแต่ไร เสมอต้นเสมอปลายดี เจริญ,hatespeech,Unknown
"ทำดี .. ย่อมได้ดี
แต่ถ้า “ตอแหล” ให้ถูกวิธี
มันก็ได้ดีเหมือนกัน 🤓👐 pic.twitter.com/TpMLotdht0",nonhatespeech,Unknown
กูต้องอยู่ร่วมสังคมกับคนที่มีความคิดแค่นี้หรอ?? ต่ำ!!!,hatespeech,Unknown
เรียนผูก ก็ต้องเรียนแก้ ถ้าคิดจะตอแหล ก็ต้องแถให้ที่สุด,nonhatespeech,Unknown
ประชาชนชาวไทยเหมือนตายทั้งเป็น นับแต่มีปีศาจทหารขี้ฉ้อตอแหลยึดอำนาจ หลอกลวงปวงชนว่าขอเวลาอีกไม่นานจะคืนความสุขให้ประชาชน ที่แท้เป็นกลลวง,hatespeech,Unknown
ไปเปนดาราไป ตอแหล ขนาดนี้ มอบมง 55555555 อีดอกกกกกกกก,hatespeech,Unknown
คนตอแหลน่าตาก็จะประมาณพวกมึง,hatespeech,Unknown
เท่าที่เคยเจอมาคนนี้เหี้ยสุดแล้ว ตอแหลเหมาะสมกันดี,hatespeech,Unknown
กูนี่เกลียดจริงๆกับอีคำว่าเลิกกันไม่จำเป็นต้องเกลียดกัน อีตอแหล,hatespeech,Unknown
สวยตอแหลก็ไม่นับถือหลอกปลอมเปลือก,hatespeech,Unknown
เอาจริง ทวิตเป็นที่แรกในโลกเลยที่เรารู้สึกว่าโพสความจริงอะไรก็โดนหาว่าตอแหล,nonhatespeech,Unknown
😡 ต้องการอะไร ถึงมาตอแหล สร้างเรื่อง  เก่งจริงนะ เล่นกับความรู้สึกคนอื่น นรก !!! ว่างๆ ค่อยทำบุญไปให้นะ กราบขอบคุณที่ทำให้รู้สันดาน !!!,hatespeech,Unknown
ตอแหลไม่เก่งคะ ถ้าเกลียดคือจะไม่ยุ่งด้วยเลย เข้าใจตรงกันนะ,nonhatespeech,Unknown
กูเกลียดคนที่แซะกู พอไปถามเสือกเฉไฉบอกแซะคนอื่น ด่าตอแหลล้านรอบกูยังไม่สะใจเลยอีส้นตีน,hatespeech,Unknown
เหี้ยไปอีกอะ คนเรา โครตจะไม่มีสปิริตในการทำงาน ละเสือกตอแหลเป็นเจ้าภาพ,hatespeech,Unknown
สังคมเพื่อนในมหาลัยนี่ตอแหลจริงใส่หน้ากากกันกี่ชั้นอะบอกหน่อยบางคนก็ควรรู้ตัวเองปะว่าทำไมเพื่อนไม่เอาเพื่อนถึงแยกออกมาควรปรับปรุงอะจริง,nonhatespeech,Unknown
เสือกทุกเรื่องจริงๆเลย ไม่ไปผุดไปเกิดซักที,hatespeech,Unknown
ใช่ที่มันเป็นเรื่องของคุณ และใช่ที่คุณมีสิทธิ์ที่จะไม่บอก และใช่เราไม่มีสิทธิ์เสือก,nonhatespeech,Unknown
อัลฟอลไปดิใครห้ามมึง ไม่เสือกเรื่องของกูก็คงไม่ตายหรอกเนาะ,hatespeech,Unknown
"การไม่มีเธอมากเสือกในชีวิต
มันช่างเป็นลาบอันประเสริฐสำหรับเรา",hatespeech,Unknown
คนเราถ้าไม่เสือกสักเรื่องจะตายมั้ยว่ะ,hatespeech,Unknown
กูเสือกหมดแหละถ้ามันเป็นเรื่องของมึง,nonhatespeech,Unknown
"เกลียดคนประเภท ยืนต่อแถวซื้อของแล้วยังไม่ถึงคิวตัวเองแล้วเสือกตะโกนสั่ง คือมึงถึงคิวก่อนค่อยสั่งม่ะ 
😡😡😡😡😡😡",nonhatespeech,Unknown
"เก่งจังเลยเรื่องเสือก 
เสือกแล้วเสือกให้สุดนะ",hatespeech,Unknown
ด่ากูกะหรี่ นี่ไม่ดูตัวเองเลยว่าร่านขนาดไหน,hatespeech,Unknown
ปล้นอำนาจประชาชน เสือกมาเคลมตัวเองว่าดี เคลมตัวเองว่าเป็นประชาธิปไตย เคลมตัวเองว่าเคารพกฎหมาย ที่ผ่านมา มึงคงแดกยากันยุงไปเยอะเน๊าะ,hatespeech,Unknown
